,ARI,AMI,Sil
0,0.5090293453724605,0.5221278839091517,0.7585727
1,0.29684055841293167,0.32868812260758246,0.67345864
2,0.4440387073215264,0.4338030590830916,0.35810268
3,0.33555836189788923,0.3924873702349781,0.43688667
4,0.19444444444444445,0.24790841499042224,0.7181035
5,0.38207200587803086,0.4286522489644983,0.7508343
6,0.34464073093091635,0.3433813432920308,0.7342108
7,0.35985378937124685,0.3707814604847469,0.32016772
8,0.2861341759129988,0.3430170988492122,0.75754625
9,0.34464073093091635,0.4352339261555198,0.73552215
